TechStack,Portfolio_links
Frontend,https://behance.net/user896
AI,https://linkedin.com/in/user897
Swift,https://dribbble.com/user898
AI,https://dev.to/user899
Backend,https://linkedin.com/in/user900
JavaScript,https://dribbble.com/user901
AI,https://portfolio.com/user902
Perl,https://behance.net/user903
SQL,https://medium.com/user904
Go,https://dribbble.com/user905
HTML/CSS,https://linkedin.com/in/user906
Hadoop,https://medium.com/user907
Laravel,https://dribbble.com/user908
Flask,https://github.io/user909
C#,https://dev.to/user910
Spark,https://behance.net/user911
HTML/CSS,https://dribbble.com/user912
C#,https://linkedin.com/in/user913
Ruby,https://github.io/user914
Android Development,https://github.io/user915
PyTorch,https://dribbble.com/user916
iOS Development,https://medium.com/user917
Swift,https://portfolio.com/user918
Game Development,https://dribbble.com/user919
Game Development,https://portfolio.com/user920
AI,https://dribbble.com/user921
Big Data,https://portfolio.com/user922
Game Development,https://linkedin.com/in/user923
Spring Boot,https://linkedin.com/in/user924
Angular,https://portfolio.com/user925
Angular,https://dev.to/user926
iOS Development,https://dev.to/user927
iOS Development,https://dev.to/user928
Azure,https://medium.com/user929
Docker,https://linkedin.com/in/user930
Python,https://dribbble.com/user931
React,https://linkedin.com/in/user932
Hadoop,https://linkedin.com/in/user933
R,https://portfolio.com/user934
Hadoop,https://portfolio.com/user935
ASP.NET,https://medium.com/user936
Big Data,https://portfolio.com/user937
Android Development,https://github.io/user938
Python,https://github.io/user939
PyTorch,https://linkedin.com/in/user940
JavaScript,https://dev.to/user941
ASP.NET,https://dribbble.com/user942
SQL,https://behance.net/user943
JavaScript,https://portfolio.com/user944
Docker,https://github.io/user945
Shell,https://linkedin.com/in/user946
TypeScript,https://portfolio.com/user947
GCP,https://linkedin.com/in/user948
Rust,https://linkedin.com/in/user949
SQL,https://linkedin.com/in/user950
Android Development,https://portfolio.com/user951
Blockchain,https://behance.net/user952
Kotlin,https://medium.com/user953
Java,https://portfolio.com/user954
Keras,https://github.io/user955
Node.js,https://linkedin.com/in/user956
R,https://medium.com/user957
Django,https://behance.net/user958
Spark,https://medium.com/user959
Vue.js,https://portfolio.com/user960
TensorFlow,https://dev.to/user961
Laravel,https://linkedin.com/in/user962
Kubernetes,https://medium.com/user963
Laravel,https://medium.com/user964
C#,https://medium.com/user965
PHP,https://linkedin.com/in/user966
Java,https://dev.to/user967
Python,https://behance.net/user968
DevOps,https://github.io/user969
Big Data,https://dev.to/user970
Keras,https://medium.com/user971
Docker,https://portfolio.com/user972
Scala,https://dribbble.com/user973
C#,https://linkedin.com/in/user974
Vue.js,https://dribbble.com/user975
Python,https://github.io/user976
GCP,https://portfolio.com/user977
SQL,https://dribbble.com/user978
Big Data,https://github.io/user979
C++,https://dev.to/user980
Spring Boot,https://github.io/user981
Go,https://behance.net/user982
C++,https://dev.to/user983
Scala,https://github.io/user984
Java,https://github.io/user985
Kotlin,https://linkedin.com/in/user986
Hadoop,https://linkedin.com/in/user987
DevOps,https://linkedin.com/in/user988
Data Science,https://medium.com/user989
TensorFlow,https://dribbble.com/user990
MATLAB,https://behance.net/user991
Java,https://dev.to/user992
R,https://dribbble.com/user993
iOS Development,https://dribbble.com/user994
Dart,https://linkedin.com/in/user995
TensorFlow,https://portfolio.com/user996
GCP,https://behance.net/user997
Azure,https://dev.to/user998
PHP,https://linkedin.com/in/user999
PyTorch,https://github.io/user1000
